project name,revision,were able to build?,root cause category,root cause subcategory,fix category,fix effectiveness,change scope,result,,,,,,,,,,,,,,,,
servicemix,818848,success,Async wait,N/A,Sleep,DECREASE,Test only,True Negative,,,,,,,,,,,,,,,,
shindig,944670,fail,Floating point operations,Rounding,,,Test only,,,,,,,,,,,,,,,,,
jackrabbit,1522657,fail,Unordered collections,N/A,,,Test only,,,,,,,,,,,,,,,,,
jackrabbit,1157104,fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
hadoop,937860,success,Network,Socket,,,Test only,True Negative,,,,,,,,,,,,,,,,
hadoop,1190495,fail,Async wait,N/A,WaitFor,REMOVE,Test only,,,,,,,,,,,,,,,,,
derby,1412577,fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
derby,535572,fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
ambari,1494301,success,Async wait,N/A,WaitFor,REMOVE,Test only,False Positive,,,,,,,,,,,,,,,,
ambari,1401079,success,Async wait,N/A,WaitFor,REMOVE,Test only,True Negative,,,,,,,,,,,,,,,,
httpcomponents,758645,success,Async wait,N/A,WaitFor,REMOVE,Test only,True Negative,,,,,,,,,,,,,,,,
httpcomponents,722180,success,Network,Socket,,,Test only,True Negative,,,,,,,,,,,,,,,,
continuum,921240,success,Async wait,N/A,WaitFor,REMOVE,Test only,True Negative,,,,,,,,,,,,,,,,
continuum,924643,success,Async wait,N/A,Other,REMOVE,Test only,True Negative,,,,,,,,,,,,,,,,
continuum,899514,fail,Async wait,N/A,WaitFor,REMOVE,Test only,,,,,,,,,,,,,,,,,
continuum,924654,success,Async wait,Browser specific,Sleep,DECREASE,Test only,True Negative,,,,,,,,,,,,,,,,
avro,1056418,fail,Async wait,N/A,Reorder execution,DECREASE,Test only,,,,,,,,,,,,,,,,,
avro,1196217,success,Network,Remote,,,Test and Code,True Negative,,,,,,,,,,,,,,,,
lucene,638568,success,Async wait,N/A,Other,REMOVE,Test and Code,False Positive,,,,,,,,,,,,,,,,
lucene,695483,fail,Async wait,N/A,Other,REMOVE,Test and Code,,,,,,,,,,,,,,,,,
lucene,690914,success,Network,Remote,,,Test only,True Negative,,,,,,,,,,,,,,,,
sling,1501673,success,Resource leak,N/A,,,Test only,True Negative,,,,,,,,,,,,,,,,
karaf,1242707,success,Async wait,N/A,WaitFor,REMOVE,Test only,True Negative,,,,,,,,,,,,,,,,
flume,1155622,success,Async wait,N/A,WaitFor,REMOVE,Test only,True Negative,,,,,,,,,,,,,,,,
tapestry,1057311,fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
portals,232181,fail,Time,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
zookeeper,1307191,success,Async wait,N/A,WaitFor,DECREASE,Test only,True Negative,,,,,,,,,,,,,,,,
zookeeper,1231187,success,Async wait,N/A,WaitFor,DECREASE,Test only,True Negative,,,,,,,,,,,,,,,,
