project name,revision,were able to build?,root cause category,root cause subcategory,fix category,fix effectiveness,change scope,result,log message from current resvision,location,Jacoco coverage,,,,,,,,,,,,,
servicemix,818848,success,Async wait,N/A,Sleep,DECREASE,Test only,true negative,/servicemix/components/engines/servicemix-quartz/trunk/src/test/java/org/apache/servicemix/quartz/QuartzComponentTest.java (QuartzComponentTest intermittently fails on slow build machines),none,,,,,,,,,,,,,,
shindig,944670,fail,Floating point operations,Rounding,,,Test only,,,,,,,,,,,,,,,,,
jackrabbit,1522657,fail,Unordered collections,N/A,,,Test only,,,,,,,,,,,,,,,,,
jackrabbit,1157104,fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
hadoop,937860,success,https://archive.apache.org/dist/tomcat/tomcat-5/v5.5.27/bin/,Socket,,,Test only,true negative,/hadoop/chukwa/trunk/src/test/org/apache/hadoop/chukwa/datacollection/writer/TestSocketTee.java (Fixed TestSocketTee intermittent failure),"An increment to a volatile field isn't atomic                org.apache.hadoop.chukwa.datacollection.writer.Dedup:88, An increment to a volatile field isn't atomic                org.apache.hadoop.chukwa.datacollection.connector.http.HttpConnector:176, Incorrect lazy initialization of static field                org.apache.hadoop.chukwa.dataloader.FSMDataLoader:64-67, Incorrect lazy initialization of static field                org.apache.hadoop.chukwa.dataloader.MetricDataLoaderPool:48-54, Incorrect lazy initialization of static field                org.apache.hadoop.chukwa.dataloader.FileAdaptorTailer:48-51, Incorrect lazy initialization of static field                org.apache.hadoop.chukwa.inputtools.mdl.DataConfig:50-53, Unconditional wait                                        org.apache.hadoop.chukwa.datacollection.adaptor.FileAdaptorTailer:75, Naked notify                                                org.apache.hadoop.chukwa.datacollection.writer.InMemoryWriter:48",none,,,,,,,,,,,,,
hadoop,1190495,fail,Async wait,N/A,WaitFor,REMOVE,Test only,,,,,,,,,,,,,,,,,
hadoop,1451291,fail,Floating point operations+Randomness,N/A,,,Test only,,,,,,,,,,,,,,,,,
derby,1412577, (different link: add db/ before the name) fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
derby,535572,fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
ambari,1494301,success,Async wait,N/A,WaitFor,REMOVE,Test only,true negative,/incubator/ambari/trunk/ambari-server/src/test/java/org/apache/ambari/server/agent/TestActionQueue.java (Test Concurrent operations fail intermittently on trunk),Unconditional wait         org.apache.ambari.server.state.svccomphost.HBaseMasterPortScanner:219,none,,,,,,,,,,,,,
ambari,1401079,success,Async wait,N/A,WaitFor,REMOVE,Test only,true negative,incubator/ambari/branches/AMBARI-666/ambari-server/src/test/java/org/apache/ambari/server/agent/TestHeartbeatMonitor.java (TestHeartBeatMonitor fails intermittently),"Inconsistent synchronization org.apache.ambari.server.actionmanager.Stage:156,114, Inconsistent synchronization org.apache.ambari.server.state.ConfigImpl:124,121",none,,,,,,,,,,,,,
httpcomponents,758645,success,Async wait,N/A,WaitFor,REMOVE,Test only,true negative,"/httpcomponents/httpcore/trunk/httpcore-nio/src/test/java/org/apache/http/nio/protocol/TestThrottlingNHttpHandlers.java, /httpcomponents/httpcore/trunk/httpcore-nio/src/test/java/org/apache/http/nio/protocol/TestNIOSSLHttp.java, /httpcomponents/httpcore/trunk/httpcore-nio/src/test/java/org/apache/http/nio/protocol/TestBufferingNHttpHandlers.java, TestThrottlingNHttpHandlers, TestHttpSSLServer, TestHttpSSLClient, TestDefaultIOReactors(A complete rewrite of NIO test cases.)","Naked notify	org.apache.http.impl.nio.reactor.ListenerEndpointImpl:128,159, Increment of volatile field	org.apache.http.mockup.RequestCount:54",none,,,,,,,,,,,,,
httpcomponents,722180,success,Network,Socket,,,Test only,true negative,"httpcomponents/httpclient/trunk/module-client/src/test/java/org/apache/http/conn/ssl/TestSSLSocketFactory.java, /httpcomponents/httpclient/trunk/module-client/src/test/java/org/apache/http/localserver/LocalTestServer.java (fixed SSL socket factory test case failing intermittently when running JRE 1.6)","Increment of volatile field	org.apache.http.impl.client.TestStatefulConnManagement$HttpWorker:198, Condition.await() not in loop	org.apache.http.impl.conn.tsccm.WaitingThread:159, Inconsistent synchronization	org.apache.http.impl.conn.tsccm.TestSpuriousWakeup:171",none,,,,,,,,,,,,,
continuum,921240,success,Async wait,N/A,WaitFor,REMOVE,Test only,true negative,"   M /continuum/trunk/continuum-webapp-test/src/test/testng/org/apache/continuum/web/test/UserRolesManagementTest.java, M /continuum/trunk/continuum-webapp-test/src/test/testng/org/apache/continuum/web/test/parent/AbstractContinuumTest.java (<pre>fixed selenium tests",none,,,,,,,,,,,,,,
continuum,924643,success,Async wait,N/A,Other,REMOVE,Test only,true negative,/continuum/trunk/continuum-webapp-test/src/test/testng/org/apache/continuum/web/test/QueueTest.java (hack to prevent intermittent failures),none,,,,,,,,,,,,,,
continuum,899514,fail,Async wait,N/A,WaitFor,REMOVE,Test only,,,,,,,,,,,,,,,,,
continuum,924654,success,Async wait,Browser specific,Sleep,DECREASE,Test only,true negative,"M /continuum/trunk/continuum-webapp-test/src/test/testng/org/apache/continuum/web/test/parent/AbstractContinuumTest.java, M /continuum/trunk/continuum-webapp-test/src/test/testng/org/apache/continuum/web/test/parent/AbstractSeleniumTest.java (do not use waitForCondition in IE; getting a permission denied error intermittently)",none,,,,,,,,,,,,,,
avro,1056418,fail,Async wait,N/A,Reorder execution,DECREASE,Test only,,,,,,,,,,,,,,,,,
avro,1196217,success,Network,Remote,,,Test and Code,false positive,"M /avro/trunk/lang/java/ipc/src/test/java/org/apache/avro/TestProtocolNetty.java, M /avro/trunk/lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServer.java, M /avro/trunk/lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithCallbacks.java (Java: Fix an intermittent deadlock in TestNettyServerWithCallbacks.)",does not release lock on all paths org.apache.avro.ipc.Requestor:139,covered,,,,,,,,,,,,,
lucene,638568,success,Async wait,N/A,Other,REMOVE,Test and Code,false positive,"lucene/java/trunk/src/java/org/apache/lucene/search/TimeLimitedCollector.java, /lucene/java/trunk/src/test/org/apache/lucene/search/TestTimeLimitedCollector.java (Fixed intermittent failures of TestTimeLimitedCollector.testTimeoutMultiThreaded.)","An increment to a volatile field isn't atomic        org.apache.lucene.index.SegmentReader:83,91, An increment to a volatile field isn't atomic        org.apache.lucene.index.IndexReader:111,126, An increment to a volatile field isn't atomic        org.apache.lucene.index.IndexWriter:2085,2267, Unsynchronized get method, synchronized set method        org.apache.lucene.search.FieldDocSortedHitQueue:77",covered,,,,,,,,,,,,,
lucene,695483,fail,Async wait,N/A,Other,REMOVE,Test and Code,,,,,,,,,,,,,,,,,
lucene,690914,success,Network,Remote,,,Test only,true negative,/lucene/java/trunk/contrib/highlighter/src/test/org/apache/lucene/search/highlight/HighlighterTest.java (remove DOCTYPE declaration in testEncoding),"An increment to a volatile field isn't atomic	org.apache.lucene.index.SegmentReader:86,94, An increment to a volatile field isn't atomic	org.apache.lucene.index.IndexReader:139,159, An increment to a volatile field isn't atomic	org.apache.lucene.index.IndexWriter:2181,2884, Unsynchronized get method, synchronized set method	org.apache.lucene.search.FieldDocSortedHitQueue:77, Unsynchronized get method, synchronized set method	org.apache.lucene.search.IndexWriter:1254-1255",none,,,,,,,,,,,,,
sling,1501673,success,Resource leak,N/A,,,Test only,true negative,/sling/trunk/launchpad/integration-tests/src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/resolver/errorhandler/ErrorHandlingTest.java (ErrorHandlingTest intermitent failures in setUp),none,,,,,,,,,,,,,,
karaf,1242707,success,Async wait,N/A,WaitFor,REMOVE,Test only,true negative,/karaf/branches/karaf-2.2.x/features/core/src/test/java/org/apache/karaf/features/internal/FeaturesServiceImplTest.java (FeaturesServiceImplTest intermittently fails on slower machines),none,,,,,,,,,,,,,,
flume,1155622,success,Async wait,N/A,WaitFor,REMOVE,Test only,true negative,incubator/flume/trunk/src/javatest/com/cloudera/flume/agent/diskfailover/TestConcurrentDFOMan.java (Fix TestConcurrentDFOMan.* fails intermittently),"Wait not in loop	com.cloudera.flume.reporter.gangila.TestGangilaSink:247, 173, Incorrect lazy initialization of static field		com.cloudera.flume.agent.FlumeNode:197-198, inconsistent synchronization	com.cloudera.flume.handlers.rolling.RollSink:262, inconsistent synchronization	com.cloudera.flume.master.ZooKeeperConfigStore:139 started at TestZKBackeConfigStore.java:484, inconsistent synchronization	com.cloudera.flume.reporter.history.ScheduledHistoryReporter:154",none,,,,,,,,,,,,,
tapestry,1057311,fail,Async wait,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
portals,232181,fail,Time,N/A,Sleep,DECREASE,Test only,,,,,,,,,,,,,,,,,
zookeeper,1307191,success,Async wait,N/A,WaitFor,DECREASE,Test only,true negative,/zookeeper/trunk/src/java/test/org/apache/zookeeper/server/ZxidRolloverTest.java (improve ZxidRolloverTest (test seems flakey)),"An increment to a volatile field isn't atomic		org.apache.zookeeper.server.quorum.AuthFastLeaderElection:769, 843, An increment to a volatile field isn't atomic		org.apache.zookeeper.server.quorum.FastLeaderElection:726",none,,,,,,,,,,,,,
zookeeper,1231187,success,Async wait,N/A,WaitFor,DECREASE,Test only,true negative,/zookeeper/bookkeeper/trunk/bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java (BookieClientTest fails intermittantly),"Naked notify	org.apache.bookkeeper.test.BookieClientTest:121	(false positive)",none,,,,,,,,,,,,,
